YEAR,ANDAMAN AND NICOBAR,PUDUCHERRY,DAMAN AND DIU,CHANDIGARH,DELHI,J AND K,LAKSHADWEEP
1990,3017,4168,206,2098,39773,15257,30
1991,2738,5060,264,2008,45165,15959,46
1992,2647,4948,231,1796,46744,15870,55
1993,2704,3794,229,2235,47466,15615,48
1994,2070,9819,226,2164,49720,16008,52
1995,2246,4776,289,2092,60638,16996,31
1997,2938,5664,273,2364,67036,19712,26
1998,3058,5401,348,1967,75646,21072,59
1999,3409,5811,252,3241,68883,18889,31
2000,3659,4160,225,3709,68075,20792,30
2001,4236,5201,253,4175,68133,22502,46
2002,4924,5441,270,4546,67409,22841,57
2003,6647,5777,271,3931,69314,24235,32
2004,7776,5990,208,3919,78759,23829,75
2005,7796,5794,248,3936,82638,22850,49
2006,7202,5684,291,4043,88335,23603,93
2007,6111,6232,273,4496,77059,23825,66
2008,5782,6093,260,4536,56104,22549,102
2009,6118,5823,286,4111,54304,24008,141
2010,5410,5016,213,3890,55959,25272,59
2011,4565,5766,235,4229,59249,18875,55
2012,2869,5478,252,5073,60367,15937,90
2013,2658,4509,267,5432,86800,26907,62
2014,2868,4582,252,4678,165562,17122,115
2015,3059,4109,319,5113,191377,23583,50
